Age,Income,Spend,Label
19,15,39,4
21,15,81,5
20,16,6,4
23,16,77,5
31,17,40,4
22,17,76,5
35,18,6,4
23,18,94,5
64,19,3,4
30,19,72,5
67,19,14,4
35,19,99,5
58,20,15,4
24,20,77,5
37,20,13,4
22,20,79,5
35,21,35,4
20,21,66,5
52,23,29,4
35,23,98,5
35,24,35,4
25,24,73,5
46,25,5,4
31,25,73,5
54,28,14,4
29,28,82,5
45,28,32,4
35,28,61,0
40,29,31,4
23,29,87,5
60,30,4,4
21,30,73,5
53,33,4,4
18,33,92,5
49,33,14,4
21,33,81,5
42,34,17,4
30,34,73,5
36,37,26,4
20,37,75,5
65,38,35,1
24,38,92,5
48,39,36,4
31,39,61,0
49,39,28,4
24,39,65,5
50,40,55,1
27,40,47,0
29,40,42,0
31,40,42,0
49,42,52,1
33,42,60,0
31,43,54,0
59,43,60,1
50,43,45,1
47,43,41,1
51,44,50,1
69,44,46,1
27,46,51,0
53,46,46,1
70,46,56,1
19,46,55,0
67,47,52,1
54,47,59,1
63,48,51,1
18,48,59,0
43,48,50,0
68,48,48,1
19,48,59,0
32,48,47,0
70,49,55,1
47,49,42,1
60,50,49,1
60,50,56,1
59,54,47,1
26,54,54,0
45,54,53,0
40,54,48,0
23,54,52,0
49,54,42,1
57,54,51,1
38,54,55,0
67,54,41,1
46,54,44,1
21,54,57,0
48,54,46,1
55,57,58,1
22,57,55,0
34,58,60,0
50,58,46,1
68,59,55,1
18,59,41,0
48,60,49,1
40,60,40,0
32,60,42,0
24,60,52,0
47,60,47,1
27,60,50,0
48,61,42,1
20,61,49,0
23,62,41,0
49,62,48,1
67,62,59,1
26,62,55,0
49,62,56,1
21,62,42,0
66,63,50,1
54,63,46,1
68,63,43,1
66,63,48,1
65,63,52,1
19,63,54,0
38,64,42,0
19,64,46,0
18,65,48,0
19,65,50,0
63,65,43,1
49,65,59,1
51,67,43,1
50,67,57,1
27,67,56,0
38,67,40,0
40,69,58,0
39,69,91,2
23,70,29,0
31,70,77,2
43,71,35,1
40,71,95,2
59,71,11,3
38,71,75,2
47,71,9,3
39,71,75,2
25,72,34,0
31,72,71,2
20,73,5,0
29,73,88,2
44,73,7,3
32,73,73,2
19,74,10,0
35,74,72,2
57,75,5,3
32,75,93,2
28,76,40,0
32,76,87,2
25,77,12,0
28,77,97,2
48,77,36,1
32,77,74,2
34,78,22,3
34,78,90,2
43,78,17,3
39,78,88,2
44,78,20,3
38,78,76,2
47,78,16,3
27,78,89,2
37,78,1,3
30,78,78,2
34,78,1,3
30,78,73,2
56,79,35,1
29,79,83,2
19,81,5,0
31,81,93,2
50,85,26,3
36,85,75,2
42,86,20,3
33,86,95,2
36,87,27,3
32,87,63,2
40,87,13,3
28,87,75,2
36,87,10,3
36,87,92,2
52,88,13,3
30,88,86,2
58,88,15,3
27,88,69,2
59,93,14,3
35,93,90,2
37,97,32,3
32,97,86,2
46,98,15,3
29,98,88,2
41,99,39,3
30,99,97,2
54,101,24,3
28,101,68,2
41,103,17,3
36,103,85,2
34,103,23,3
32,103,69,2
33,113,8,3
38,113,91,2
47,120,16,3
35,120,79,2
45,126,28,3
32,126,74,2
32,137,18,3
30,137,83,2
