sepal_length,sepal_width,petal_length,petal_width,species_pred,species_prob
5.5,2.5,4.0,1.3,versicolor,0.8813005427252519
6.9,3.1,5.1,2.3,virginica,0.9351657345594248
5.1,2.5,3.0,1.1,versicolor,0.8520732076544816
4.4,2.9,,0.2,setosa,0.7393637306683208
5.9,3.0,5.1,1.8,virginica,0.6693393543967411
5.5,3.5,1.3,0.2,setosa,0.9610046587516855
5.6,,3.6,1.3,versicolor,0.8112036530491791
6.5,3.0,5.2,2.0,virginica,0.8401249982801449
5.3,3.7,1.5,0.2,setosa,0.9822803652846344
5.1,3.4,1.5,,setosa,0.9025718937950357
6.1,2.8,4.0,1.3,versicolor,0.8987218152601067
5.5,2.4,3.7,1.0,versicolor,0.9430090632809979
7.7,3.0,6.1,2.3,virginica,0.9820995892167985
6.9,3.1,4.9,1.5,versicolor,0.6750405491510988
6.0,2.2,5.0,1.5,virginica,0.5106337942551953
