sepal_length,sepal_width,petal_length,petal_width,species_pred,species_prob
5.5,2.5,4.0,1.3,versicolor,0.9649335050888541
6.9,3.1,5.1,2.3,virginica,0.9647912686843176
5.1,2.5,3.0,1.1,versicolor,0.9478887232718993
4.4,2.9,,0.2,setosa,0.6462321639324267
5.9,3.0,5.1,1.8,virginica,0.7573209258833056
5.5,3.5,1.3,0.2,setosa,0.9614092009843206
5.6,,3.6,1.3,versicolor,0.9353782771186359
6.5,3.0,5.2,2.0,virginica,0.9453424440529771
5.3,3.7,1.5,0.2,setosa,0.9662225519260358
5.1,3.4,1.5,,setosa,0.8204340243684044
6.1,2.8,4.0,1.3,versicolor,0.9772325272138698
5.5,2.4,3.7,1.0,versicolor,0.9774379067764564
7.7,3.0,6.1,2.3,virginica,0.9598892080807025
6.9,3.1,4.9,1.5,versicolor,0.7479067946249004
6.0,2.2,5.0,1.5,versicolor,0.59418496887272
